Facility Name,Address,City,Zipcode,Latitude,Longitude,Facility Group,Facility Subgroup,Facility Type
Fort Greene Hugh Gilroy Senior Center,447 Kingsborough    4 Walk,Brooklyn,11233,40.675106,-73.924598,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Project for PSychiatric Outreach to the Homeless,198 East  121 Street,New York,10035,40.801044,-73.938158,Health Care,Mental Health,Support Mental Health
Kipp Amp Academy,1224 Park Place,Brooklyn,11213,40.672232,-73.937218,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Gospel Tabernacle Church of Jesus Christ Inc.,2314 Snyder Avenue,Brooklyn,11226,40.648472,-73.955119,Human Services,Soup Kitchens and Food Pantries,Food Pantry
P.S. 165 Ida Posner,76 Lott Avenue,Brooklyn,11212,40.657185,-73.91098,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Mt. Paran Community Development Corp.,1665 Broadway,Brooklyn,11207,40.684506,-73.912671,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Hollis Avenue Congregational Church,211-04 Hollis Avenue,Queens Village,11429,40.708811,-73.746273,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Northside Center for Child Development Clinic,35 East  110 Street,New York,10029,40.796664,-73.947842,Health Care,Mental Health,Outpatient Mental Health
Innovative Manhattan Charter School,38 Delancey Street,New York,10002,40.720032,-73.991651,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Apostolic Assembly of Jesus Christ,3808 Church Avenue,Brooklyn,11203,40.650988,-73.941572,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Transitional Services for New York - HH CM,90-27 Sutphin Boulevard,Jamaica,11435,40.702437,-73.807826,Health Care,Mental Health,Support Mental Health
Jamaica YMCA,89-25 Parsons Boulevard,Jamaica,11432,40.705148,-73.800809,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
PSychosocial Club,307 St Marks Place,Staten Is,10301,40.642546,-74.078122,Health Care,Mental Health,Support Mental Health
Urban Science Academy,1000 Teller Avenue,Bronx,10456,40.827723,-73.913812,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Ebenezer Pilgrim Holiness Church,708 East  216 Street,Bronx,10467,40.881106,-73.863594,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Mosholu Montefiore Community Center,3450 Dekalb Avenue,Bronx,10467,40.881497,-73.880738,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
W. 35th St.,454 West   35 Street,New York,10001,40.754802,-73.99811,Human Services,Permanent Supportive SRO Housing,Supportive Housing
096q,130-01 Rockaway Boulevard,South Ozone Park,11420,40.675331,-73.808131,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Bikur Cholim of Staten Island,46 Birchand Avenue,Staten Island,10314,40.59923,-74.13087,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Lawrence F. Hickey Center,4010 Dyre Avenue,Bronx,10466,40.890947,-73.830731,Health Care,Mental Health,Outpatient Mental Health
Clinton School For Writers & Artists,425 West   33 Street,New York,10001,40.753351,-73.997534,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
P.S. 284 Lew Wallace,213 Osborn Street,Brooklyn,11212,40.666935,-73.907683,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Consultation/Liaison,900 Main Street,New York,10044,40.770322,-73.942196,Health Care,Mental Health,Support Mental Health
The Boulevard Family Center,79-00 Queens Boulevard,Elmhurst,11373,40.737737,-73.884652,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Metropolitan Center for Mental Health,160 West   86 Street,New York,10024,40.7872,-73.974501,Health Care,Mental Health,Outpatient Mental Health
Elizabeth L. Farrell School,515 Knickerbocker Avenue,Brooklyn,11237,40.698055,-73.916586,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Job Links - Assisted Competitive Employment,200 Varick Street,New York,10014,40.728258,-74.004793,Health Care,Mental Health,Support Mental Health
New York Weill Cornell Center Inpatient Program,525 East   68 Street,New York,10065,40.764721,-73.953919,Health Care,Mental Health,Inpatient Mental Health
Alpha Phi Alpha Senior Citizens Center Inc,220-01 Linden Boulevard,Cambria Heights,11411,40.695286,-73.739759,Human Services,Senior Services,Neighborhood Senior Centers
Interborough ERS,887 East New York Avenue,Brooklyn,11203,40.66304,-73.932828,Health Care,Mental Health,Support Mental Health
NYC-HHC Coney Island Hospital - HH CM,2601 Ocean Parkway,Brooklyn,11235,40.58608,-73.965599,Health Care,Mental Health,Support Mental Health
Community Agency For Senior Citizens Inc,125 Cassidy Place,Staten Is,10301,40.642304,-74.096409,Human Services,Senior Services,Neighborhood Senior Centers
Segundo Ruiz Belvis D&Tc,545 East  142 Street,Bronx,10454,40.810137,-73.915788,Health Care,Hospitals and Clinics,Ambulatory Health Facility
Georgia's Place,691 Prospect Place,Brooklyn,11216,40.674751,-73.953842,Human Services,Permanent Supportive SRO Housing,Supportive Housing
PSychiatric Inpatient Unit,681 Clarkson Avenue,Brooklyn,11203,40.656608,-73.936237,Health Care,Mental Health,Inpatient Mental Health
Home Based Crisis Intervention Program,3959 Broadway,New York,10032,40.840073,-73.941134,Health Care,Mental Health,Emergency Mental Health
Rockaway Parkway Center,1310 Rockaway Parkway,Brooklyn,11236,40.647392,-73.905298,Health Care,Mental Health,Outpatient Mental Health
St. Dominic's - HCBW Services,1 Fordham Plaza,Bronx,10458,40.860386,-73.890064,Health Care,Mental Health,Support Mental Health
West End Intergenerational,483 West End Avenue,New York,10024,40.787177,-73.979439,Human Services,Permanent Supportive SRO Housing,Supportive Housing
St. Teresa Church Saint Vincent DePaul Society,50-20 45 Street,Woodside,11377,40.737007,-73.921134,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Selfhelp Community Services Inc,34-30 137 Street,Flushing,11354,40.765945,-73.830385,Human Services,Senior Services,Neighborhood Senior Centers
Church of God Feeding Hungry,836 Classon Avenue,Brooklyn,11238,40.672399,-73.961204,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Columbia,177 Columbia Street,Brooklyn,11231,40.686156,-74.001883,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Centro De La Hospitalidad,1546 Castleton Avenue,Staten Is,10302,40.635765,-74.13448,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Peer Counseling/MICA,643 Park Avenue,New York,10065,40.767233,-73.965499,Health Care,Mental Health,Support Mental Health
ICL - Highland Park Center,484 Rockaway Avenue,Brooklyn,11212,40.668132,-73.910662,Health Care,Mental Health,Outpatient Mental Health
M.S. 322,4600 Broadway,New York,10040,40.860897,-73.930016,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Achievement First Endeavor Middle School,510 Waverly Avenue,Brooklyn,11238,40.682402,-73.965945,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
The Action Center Food Pantry,57-10 Beach Channel Drive,Arverne,11692,40.595219,-73.787699,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Atonement Lutheran Church,30-61 87 Street,East Elmhurst,11369,40.759981,-73.881175,Human Services,Soup Kitchens and Food Pantries,Food Pantry
TSINY SuppHSing/Adult Home SH Queens - Inreach,242-01 Braddock Avenue,Bellerose,11426,40.726333,-73.726033,Health Care,Mental Health,Support Mental Health
Skilled Nursing Facility Enhanced Support Program,1500 Waters Place,Bronx,10461,40.848814,-73.839627,Health Care,Mental Health,Support Mental Health
Linden SDA Church Community Services,228-20 137 Avenue,Springfield Gardens,11413,40.672936,-73.743926,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Rose House,305 West   97 Street,New York,10025,40.796342,-73.973137,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Central Intake,74-03 Commonwealth Boulevard,Bellerose,11426,40.745687,-73.725705,Health Care,Mental Health,Support Mental Health
Mt. Gilead Baptist Church,1682 Morris Avenue,Bronx,10457,40.843895,-73.909166,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Fed of Org - HH NonMed CM - NYC,105-01 101 Avenue,Ozone Park,11416,40.686804,-73.838001,Health Care,Mental Health,Support Mental Health
"C.S. 67, The Mohegan School",2024 Mohegan Avenue,Bronx,10460,40.843897,-73.884338,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
McMurray Clinic,115 West   31 Street,New York,10001,40.748362,-73.989745,Health Care,Mental Health,Outpatient Mental Health
Children's Mobile Mental Health Clinic,1841 Park Avenue,New York,10035,40.805703,-73.938008,Health Care,Mental Health,Outpatient Mental Health
Y After School At PS 57,140 Palma Drive,Staten Is,10304,40.611042,-74.083628,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Riverdale Senior Services Inc,2600 Netherland Avenue,Bronx,10463,40.878633,-73.914776,Human Services,Senior Services,Neighborhood Senior Centers
Community Alliance Initiative,60-85 Myrtle Avenue,Ridgewood,11385,40.700942,-73.895277,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Bedford Stuyvesant New Beginnings Charter School,82 Lewis Avenue,Brooklyn,11206,40.694662,-73.937706,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Clara Barton High School,901 Classon Avenue,Brooklyn,11225,40.669083,-73.961436,Health Care,Mental Health,Support Mental Health
World of Work - Brooklyn,2037 Utica Avenue,Brooklyn,11234,40.622079,-73.926844,Health Care,Mental Health,Support Mental Health
Jericho Residence I,1846 Anthony Avenue,Bronx,10457,40.847812,-73.903372,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Washington Heights Ecumenical Food Pantry,4111 Broadway,New York,10033,40.845192,-73.939164,Human Services,Soup Kitchens and Food Pantries,Food Pantry
La Jornada,135-32 38 Avenue,Flushing,11354,40.76035,-73.831214,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Hope Line,402 East  152 Street,Bronx,10455,40.817953,-73.916644,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Bronx House 4 - Aftercare,1000 Waters Place,Bronx,10461,40.84793,-73.843916,Health Care,Mental Health,Support Mental Health
Bronx Counseling (Resource) Center Clinic,3600 Jerome Avenue,Bronx,10467,40.885388,-73.878633,Health Care,Mental Health,Outpatient Mental Health
Kidwise School-Based Init.,133-25 Guy R Brewer Boulevard,Jamaica,11434,40.674916,-73.775603,Health Care,Mental Health,Support Mental Health
New York Weill Cornell Center Adult Clinic,525 East   68 Street,New York,10065,40.764721,-73.953919,Health Care,Mental Health,Outpatient Mental Health
The Institute for Family Health Center for Counseling,2590 Frisby Avenue,Bronx,10461,40.841483,-73.844154,Health Care,Mental Health,Outpatient Mental Health
Club Pride,243-02 Northern Boulevard,Little Neck,11362,40.765231,-73.742666,Health Care,Mental Health,Support Mental Health
Cardinal McCloskey Family Outreach,953 Southern Boulevard,Bronx,10459,40.821571,-73.892098,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Family Support Special Need,3959 Broadway,New York,10032,40.840073,-73.941134,Health Care,Mental Health,Support Mental Health
D'Addario Residence,275 Kosciuszko Street,Brooklyn,11221,40.691649,-73.944034,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Bmt Stillwell Ave. Station,Stillwell Avenue,Brooklyn,11224,40.576098,-73.980468,Transportation,Other Transportation,Transportation Facility
New Horizon Counseling - Far Rockaway Clinic,718-720 Beach 20th Street,Far Rockaway,11691,40.601813,-73.753466,Health Care,Mental Health,Outpatient Mental Health
Achievement First East New York,158 Richmond Street,Brooklyn,11208,40.683395,-73.877248,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Community House,357 9 Street,Brooklyn,11215,40.668541,-73.984372,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Wazobia House,31 Van Buren Street,Brooklyn,11221,40.690163,-73.944059,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Ongoing Integrated Supported Employment,252 West   29 Street,New York,10001,40.748686,-73.995361,Health Care,Mental Health,Support Mental Health
Skilled Nursing Facility Enhanced Support Program,777 Seaview Avenue,Staten Is,10305,40.583461,-74.082576,Health Care,Mental Health,Support Mental Health
Jewish Association For Services For The Aged,3601 Surf Avenue,Brooklyn,11224,40.573633,-74.002054,Human Services,Senior Services,Neighborhood Senior Centers
NYC-HHC Queens Hospital Center - HH CM,82-68 164 Street,Jamaica,11432,40.716931,-73.804262,Health Care,Mental Health,Support Mental Health
On-Site Rehabilitation - NCS Residence,211 East   81 Street,New York,10028,40.775523,-73.955603,Health Care,Mental Health,Support Mental Health
Church of God of Prophecy,71 Malta Street,Brooklyn,11207,40.659047,-73.894984,Human Services,Soup Kitchens and Food Pantries,Food Pantry
East New York Child and Family Mental Health Center,2857 Linden Boulevard,Brooklyn,11208,40.670384,-73.858731,Health Care,Mental Health,Outpatient Mental Health
Agatha House Foundation,4471 Mundy Lane,Bronx,10466,40.902593,-73.841122,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Ave. D Sro,107 Avenue D,New York,10009,40.723624,-73.976321,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Greater Unified Free Will Baptist Church,66 Rogers Avenue,Brooklyn,11216,40.674602,-73.95304,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Wayside Out-Reach Development Inc,430 Dumont Avenue,Brooklyn,11212,40.664605,-73.903132,Human Services,Senior Services,Neighborhood Senior Centers
East Flatbush Community Research School,905 Winthrop Street,Brooklyn,11203,40.658896,-73.928745,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Kappa Middle School,3630 3 Avenue,Bronx,10456,40.8337,-73.903949,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
PS 126,80 Catherine Street,New York,10038,40.710454,-73.997014,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Charleston Business Park,4700 Arthur Kill Road,Staten Island,10309,40.530482,-74.236145,Transportation,Other Transportation,Transportation Facility
Harlem Bay Network PROS,116 East  124 Street,New York,10035,40.803844,-73.938851,Health Care,Mental Health,Outpatient Mental Health
Bronx Early College Academy 324x,250 East  164 Street,Bronx,10456,40.828117,-73.917621,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Thomas S. Muprhy Clubhouse,2245 Bedford Avenue,Brooklyn,11226,40.649196,-73.955407,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Bellevue Hospital Center CPEP,462 1 Avenue,New York,10016,40.739106,-73.975119,Health Care,Mental Health,Emergency Mental Health
Bronx ADH - Aftercare,595 Gerard Avenue,Bronx,10451,40.820483,-73.929152,Health Care,Mental Health,Support Mental Health
Extended Home Care,360 West   31 Street,New York,10001,40.751081,-73.997317,Health Care,Other Health Care,Certified Home Health Agency
Theodora G. Jackson Adult Care,92-47 165 Street,Jamaica,11433,40.704466,-73.793498,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Service Planning and Assistance Network,408 Jay Street,Brooklyn,11201,40.691803,-73.987577,Health Care,Mental Health,Support Mental Health
Goodwill PROS Rebound,4-21 27 Avenue,Astoria,11102,40.77492,-73.932712,Health Care,Mental Health,Outpatient Mental Health
P.S. 193 Alfred J. Kennedy (Q193),152-20 11 Avenue,Whitestone,11357,40.792118,-73.809496,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
School Settlement Association,120 Jackson Street,Brooklyn,11211,40.716326,-73.946691,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
First Baptist Church,100-10 Astoria Boulevard,East Elmhurst,11369,40.761505,-73.868818,Human Services,Soup Kitchens and Food Pantries,Food Pantry
PS 316 Elijah G. Stroud School,750 Classon Avenue,Brooklyn,11238,40.674573,-73.960911,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
MHA Older Adult ACT Program,2488 Grand Concourse,Bronx,10458,40.861973,-73.896813,Health Care,Mental Health,Outpatient Mental Health
New Haven SDA Church,634 Prospect Place,Brooklyn,11216,40.674631,-73.955891,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Full Gospel Tabernacle Food Pantry,361 Beach   42 Street,Far Rockaway,11691,40.59545,-73.77412,Human Services,Soup Kitchens and Food Pantries,Food Pantry
P.S./I.S. 087 Middle Village,67-54 80 Street,Middle Village,11379,40.711577,-73.8718,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Harlem Hospital Center - Child Consultation/Liaison,506 Lenox Avenue,New York,10037,40.814112,-73.939744,Health Care,Mental Health,Support Mental Health
The Institute Center for Counseling at 16th Street,16 East   16 Street,New York,10003,40.736656,-73.991979,Health Care,Mental Health,Outpatient Mental Health
Child & Adolescent Partial Hospital,79-01 Broadway,Elmhurst,11373,40.74508,-73.885668,Health Care,Mental Health,Outpatient Mental Health
W. Harlem Brownstones,233 West  120 Street,New York,10027,40.806609,-73.952151,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Kings County Hospital Center,451 Clarkson Avenue,Brooklyn,11203,40.656638,-73.944933,Health Care,Mental Health,Screening Mental Health
Mobile Outreach Team,67-29 Myrtle Avenue,Ridgewood,11385,40.701812,-73.885426,Health Care,Mental Health,Support Mental Health
United Grand Chapter of Eastern Star,441 Willoughby Avenue,Brooklyn,11206,40.693822,-73.951925,Human Services,Soup Kitchens and Food Pantries,Food Pantry
United Multicultural Center,475 Victory Boulevard,Staten Is,10301,40.630945,-74.088658,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Bergen Street Sro,334 Bergen Street,Brooklyn,11217,40.682722,-73.980771,Human Services,Permanent Supportive SRO Housing,Supportive Housing
PS 89q: The Elmhurst School,85-28 Britton Avenue,Elmhurst,11373,40.745951,-73.8796,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Judson Health Center,34 Spring Street,New York,10012,40.721532,-73.995873,Health Care,Hospitals and Clinics,Ambulatory Health Facility
Queens Hospital Center - Partial Hospital,82-50 164 Street,Jamaica,11432,40.716931,-73.804262,Health Care,Mental Health,Outpatient Mental Health
Calvary Pentecostal Church,151 Woodruff Avenue,Brooklyn,11226,40.65456,-73.961144,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Masbia of Flatbush,1372 Coney Island Avenue,Brooklyn,11230,40.624045,-73.965393,Human Services,Soup Kitchens and Food Pantries,Food Pantry
PS 12,430 Howard Avenue,Brooklyn,11233,40.673048,-73.91999,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
New York Foundation For Senior Citizens Inc,180 Mott Street,New York,10012,40.720546,-73.995617,Human Services,Senior Services,Neighborhood Senior Centers
Fort Greene Council,161 Corbin Place,Brooklyn,11235,40.577682,-73.953815,Human Services,Senior Services,Neighborhood Senior Centers
Victory Guild PSychiatric Consultation Center,184 Eldridge Street,New York,10002,40.720544,-73.990528,Health Care,Mental Health,Outpatient Mental Health
Manhattanville Health Center,530 West 129 Street,New York,10027,40.815484,-73.956532,Health Care,Hospitals and Clinics,Ambulatory Health Facility
Bronx Temple SDA Community Services,495 Willis Avenue,Bronx,10455,40.815057,-73.918946,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Center for Hearing and Communication,50 Broadway,New York,10004,40.706232,-74.012433,Health Care,Mental Health,Outpatient Mental Health
P.S. 209 Margaret Mead,2609 East    7 Street,Brooklyn,11235,40.586685,-73.961491,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Dorothy Mcgowan Houses,518 West  159 Street,New York,10032,40.834351,-73.942188,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Elmhurst Hospital Mental Health Clinic,79-01 Broadway,Elmhurst,11373,40.74508,-73.885668,Health Care,Mental Health,Outpatient Mental Health
Gouverneur Court,621 Water Street,New York,10002,40.711094,-73.983593,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Global Technology Preparatory,160 East  120 Street,New York,10035,40.80079,-73.939341,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Jhs 057 Whitelaw Reid,125 Stuyvesant Avenue,Brooklyn,11221,40.691539,-73.933211,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Truxton Sro,21 Truxton Street,Brooklyn,11233,40.678443,-73.908827,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Odyssey House,219 East  121 Street,New York,10035,40.800876,-73.936577,Health Care,Mental Health,Support Mental Health
School Response Team,1841 Park Avenue,New York,10035,40.805703,-73.938008,Health Care,Mental Health,Support Mental Health
"Catholic Charities Of Staten Island, Inc.",120 Anderson Avenue,Staten Is,10302,40.634689,-74.134513,Human Services,Senior Services,Neighborhood Senior Centers
St. Cecilia's Gift of Love Food Pantry,23 Monitor Street,Brooklyn,11222,40.719912,-73.941853,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Harrison Counseling Center,57 West Burnside Avenue,Bronx,10453,40.854398,-73.909574,Health Care,Mental Health,Outpatient Mental Health
Community Roots Charter School,50 Navy Street,Brooklyn,11201,40.697851,-73.981008,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Resurrection Lutheran Church,189-20 114 Road,Saint Albans,11412,40.697274,-73.763225,Human Services,Soup Kitchens and Food Pantries,Food Pantry
The Bailey House Behavioral Health Center,1751 Park Avenue,New York,10035,40.802577,-73.940407,Health Care,Mental Health,Outpatient Mental Health
St. Louis Hall (Rustin HSe),319 West   94 Street,New York,10025,40.794643,-73.975255,Human Services,Permanent Supportive SRO Housing,Supportive Housing
New Creation Outreach Center,1534 Broadway,Brooklyn,11221,40.686134,-73.916634,Human Services,Soup Kitchens and Food Pantries,Food Pantry
PSychosocial Club/The Other Place,264 West   87 Street,New York,10024,40.789268,-73.977168,Health Care,Mental Health,Support Mental Health
Jhs 145,1000 Teller Avenue,Bronx,10456,40.827723,-73.913812,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
St. Brigid School,185 East    7 Street,New York,10009,40.725114,-73.980823,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Residential Family Peer Support,358 St Marks Place,Staten Is,10301,40.640995,-74.078054,Health Care,Mental Health,Support Mental Health
Bergen Beach Youth Organization Inc,3000 Fillmore Avenue,Brooklyn,11234,40.605915,-73.934678,Human Services,Senior Services,Neighborhood Senior Centers
NY-NY PSychiatric Emergency Service,150 Greenwich Street,New York,10007,40.710308,-74.011992,Health Care,Mental Health,Emergency Mental Health
PS130,750 Prospect Avenue,Bronx,10455,40.817721,-73.90188,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Puerto Rican Family Institute Inc.- HH CM,145 West   15 Street,New York,10011,40.738954,-73.997908,Health Care,Mental Health,Support Mental Health
Michael J. Petrides School,715 Ocean Terrace,Staten Is,10301,40.608288,-74.102037,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
TSNY Counseling and Crisis Center,90-27 Sutphin Boulevard,Jamaica,11435,40.702437,-73.807826,Health Care,Mental Health,Outpatient Mental Health
Jewish Community Center Of Staten Island Inc,189 Gordon Street,Staten Is,10304,40.623066,-74.082227,Human Services,Senior Services,Neighborhood Senior Centers
Crossroads,17 Bristol Street,Brooklyn,11212,40.670893,-73.912547,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
"Greenwich House, Inc.",25 Carmine Street,New York,10014,40.730567,-74.002904,Human Services,Senior Services,Neighborhood Senior Centers
Catholic Charities Neighborhood Services Inc,7711 18 Avenue,Brooklyn,11214,40.611843,-73.997132,Human Services,Senior Services,Neighborhood Senior Centers
Partial Hospitalization Program,450 Seaview Avenue,Staten Is,10305,40.584004,-74.087792,Health Care,Mental Health,Outpatient Mental Health
IS 528,180 Wadsworth Avenue,New York,10033,40.850655,-73.934687,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Christina Home Care Food Pantry,103-39 121 Street,South Richmond Hill,11419,40.68752,-73.822114,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Commonwealth Vets Res.,1150 Commonwealth Avenue,Bronx,10472,40.828705,-73.867297,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Staten Island Mental Health Society CHAIT Clinic,669 Castleton Avenue,Staten Is,10301,40.63528,-74.103754,Health Care,Mental Health,Outpatient Mental Health
Rugged Cross,12 Patchen Avenue,Brooklyn,11221,40.692318,-73.928218,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Family Resource Center - Manhattan Zone 3,1 West  125 Street,New York,10027,40.806797,-73.942419,Health Care,Mental Health,Support Mental Health
Safe Transition and Empowerment Project,200 Varick Street,New York,10014,40.728258,-74.004793,Health Care,Mental Health,Support Mental Health
New York City Rescue Mission,90 Lafayette Street,New York,10013,40.717543,-74.001614,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Jacob A. Riis Neighborhood Settlement,10-25 41 Avenue,Long Island City,11101,40.755585,-73.94452,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Jamaica Service Program For Older Adults Inc,92-33 170 Street,Jamaica,11433,40.706137,-73.788784,Human Services,Senior Services,Neighborhood Senior Centers
Satellite East Middle School,344 Monroe Street,Brooklyn,11216,40.685738,-73.945262,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Sisters With Purpose,1540 Van Siclen Avenue,Brooklyn,11239,40.647468,-73.877967,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Mobile Integration Team,79-25 Winchester Boulevard,Bellerose,11426,40.741389,-73.731511,Health Care,Mental Health,Support Mental Health
Mother Gaston,89 Mother Gaston Boulevard,Brooklyn,11233,40.678654,-73.907797,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Faith Based Food Distribution Dev. Corp.,121 Chauncey Street,Brooklyn,11233,40.680451,-73.930596,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Lyons Community School,223 Graham Avenue,Brooklyn,11206,40.709757,-73.944495,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
St. Ignatius School,740 Manida Street,Bronx,10474,40.81535,-73.888372,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
PS 236 Mill Basin School,6302 Avenue U,Brooklyn,11234,40.615731,-73.912386,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Clubhouse,150-10 Hillside Avenue,Jamaica,11432,40.706535,-73.806025,Health Care,Mental Health,Support Mental Health
"J10 Community Services, Inc.",102-07 43 Avenue,Corona,11368,40.747476,-73.862626,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Goodwill Seamark PROS,261 Schenectady Avenue,Brooklyn,11213,40.669662,-73.93354,Health Care,Mental Health,Outpatient Mental Health
Queens North Family Ctr,23-40 Astoria Boulevard,Astoria,11102,40.771214,-73.923256,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Laguardia Community College,29-10 Thomson Avenue,Long Island City,11101,40.744306,-73.937897,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
New York PSychotherapy Adult Home CDTP,130-30 180 Street,Jamaica,11434,40.679693,-73.759434,Health Care,Mental Health,Outpatient Mental Health
Healthy Connections,6025 6 Avenue,Brooklyn,11220,40.637551,-74.01417,Health Care,Mental Health,Outpatient Mental Health
